sample_idx,latency_us
0,6.000
1,5.900
2,5.900
3,5.900
4,5.900
5,5.900
6,5.800
7,6.000
8,5.900
9,6.700
10,5.800
11,5.900
12,5.900
13,5.900
14,5.900
15,5.900
16,6.000
17,5.900
18,5.900
19,5.900
20,6.100
21,5.900
22,6.200
23,6.200
24,6.000
25,5.900
26,6.000
27,6.000
28,6.000
29,6.000
30,5.900
31,5.900
32,5.900
33,5.900
34,6.000
35,5.800
36,6.000
37,5.900
38,5.900
39,5.900
40,5.900
41,5.900
42,5.800
43,6.000
44,5.900
45,5.900
46,5.900
47,5.900
48,5.900
49,5.900
50,5.900
51,6.000
52,5.900
53,5.800
54,5.900
55,5.900
56,5.900
57,5.900
58,6.000
59,5.800
60,5.900
61,5.900
62,5.900
63,5.900
64,6.000
65,5.900
66,5.900
67,5.900
68,5.900
69,5.900
70,5.900
71,6.000
72,6.000
73,42.300
74,14.000
75,13.800
76,13.800
77,13.800
78,13.900
79,13.800
80,13.800
81,13.800
82,13.800
83,13.800
84,13.800
85,13.800
86,13.900
87,13.800
88,14.000
89,13.900
90,13.800
91,13.800
92,13.800
93,13.800
94,13.900
95,13.800
96,13.800
97,13.800
98,13.900
99,13.800
100,13.800
101,14.200
102,13.800
103,13.800
104,31.000
105,14.000
106,13.800
107,39.400
108,19.700
109,14.000
110,13.900
111,13.800
112,13.800
113,13.900
114,13.800
115,32.300
116,14.400
117,13.800
118,13.900
119,13.800
120,13.900
121,13.900
122,13.800
123,13.900
124,22.700
125,14.100
126,13.800
127,13.800
128,13.900
129,13.800
130,14.100
131,14.000
132,2801.600
133,28.300
134,14.100
135,14.100
136,13.900
137,13.900
138,13.800
139,13.900
140,13.800
141,13.900
142,13.900
143,13.900
144,13.800
145,14.000
146,14.000
147,15.400
148,15.700
149,13.900
150,13.800
151,14.200
152,13.900
153,13.900
154,13.800
155,13.900
156,13.800
157,13.900
158,14.000
159,13.800
160,13.800
161,13.900
162,13.900
163,13.800
164,13.800
165,13.800
166,13.900
167,13.900
168,13.800
169,13.900
170,13.900
171,29.300
172,15.000
173,13.900
174,13.800
175,13.900
176,47.600
177,15.100
178,13.900
179,81.600
180,15.700
181,14.100
182,13.800
183,27.100
184,29.000
185,14.200
186,13.800
187,13.800
188,13.800
189,13.800
190,13.800
191,13.800
192,13.800
193,14.200
194,13.800
195,13.800
196,13.800
197,13.800
198,13.800
199,30.600
200,13.900
201,13.900
202,13.800
203,13.800
204,13.900
205,13.800
206,13.900
207,13.800
208,13.800
209,16.000
210,13.900
211,13.800
212,13.800
213,13.900
214,13.900
215,13.800
216,13.900
217,13.900
218,13.900
219,13.800
220,13.900
221,13.800
222,13.900
223,13.800
224,13.800
225,13.900
226,13.800
227,13.900
228,13.800
229,13.800
230,13.900
231,13.900
232,13.800
233,86.900
234,14.700
235,13.900
236,38.000
237,14.400
238,13.900
239,41.300
240,21.000
241,14.000
242,13.800
243,29.500
244,14.000
245,13.800
246,13.800
247,15.600
248,15.500
249,53.900
250,15.400
251,13.900
252,13.800
253,16.500
254,13.800
255,13.800
256,13.900
257,13.800
258,13.800
259,13.800
260,13.900
261,13.800
262,13.800
263,13.800
264,13.900
265,14.200
266,13.900
267,13.800
268,42.300
269,20.100
270,13.900
271,13.800
272,13.900
273,13.800
274,13.800
275,13.800
276,14.000
277,14.000
278,13.800
279,13.800
280,13.800
281,14.100
282,13.800
283,13.800
284,13.800
285,13.800
286,13.900
287,13.800
288,13.900
289,13.800
290,13.900
291,39.100
292,14.200
293,13.800
294,13.800
295,13.800
296,13.800
297,13.900
298,13.800
299,22.000
300,33.200
301,17.800
302,13.900
303,13.800
304,44.900
305,14.600
306,13.900
307,13.900
308,13.900
309,13.900
310,13.900
311,13.900
312,13.900
313,13.900
314,13.900
315,13.800
316,14.000
317,13.800
318,13.900
319,13.900
320,13.800
321,14.000
322,13.900
323,13.800
324,13.900
325,13.900
326,13.800
327,29.200
328,13.900
329,14.100
330,15.500
331,15.500
332,13.800
333,13.900
334,13.800
335,13.800
336,13.800
337,14.000
338,13.800
339,13.800
340,13.800
341,13.800
342,13.900
343,13.800
344,13.900
345,14.400
346,13.800
347,13.800
348,13.800
349,13.800
350,13.800
351,13.800
352,13.800
353,13.800
354,13.800
355,13.800
356,13.900
357,14.600
358,13.800
359,13.800
360,13.800
361,13.800
362,13.800
363,13.800
364,13.800
365,35.500
366,14.100
367,13.800
368,13.900
369,13.800
370,13.800
371,13.800
372,13.900
373,13.800
374,13.900
375,13.800
376,13.800
377,13.900
378,13.800
379,13.900
380,13.800
381,13.800
382,13.900
383,13.800
384,13.900
385,13.800
386,13.800
387,13.900
388,13.800
389,13.900
390,13.800
391,13.900
392,13.800
393,13.800
394,13.900
395,13.800
396,13.900
397,13.900
398,13.800
399,14.200
400,15.600
401,15.500
402,13.900
403,13.900
404,77.800
405,19.500
406,14.000
407,13.800
408,13.800
409,13.800
410,13.900
411,13.800
412,13.800
413,13.800
414,13.800
415,13.800
416,13.800
417,13.800
418,13.800
419,13.800
420,13.900
421,16.300
422,13.800
423,13.900
424,13.800
425,13.800
426,13.900
427,13.800
428,13.900
429,13.800
430,13.800
431,14.000
432,42.100
433,17.100
434,32.400
435,14.200
436,14.000
437,13.800
438,13.900
439,13.900
440,13.900
441,13.900
442,14.000
443,13.900
444,13.800
445,14.000
446,13.900
447,13.900
448,13.900
449,13.900
450,14.000
451,13.900
452,13.900
453,13.900
454,13.900
455,87.600
456,13.800
457,13.800
458,13.800
459,13.800
460,13.900
461,13.800
462,13.800
463,13.700
464,13.900
465,13.800
466,13.800
467,13.900
468,13.800
469,13.800
470,13.900
471,13.800
472,13.900
473,13.900
474,13.900
475,13.900
476,13.800
477,13.700
478,13.900
479,13.900
480,13.800
481,13.800
482,13.800
483,13.900
484,13.800
485,13.800
486,13.800
487,13.800
488,13.800
489,13.800
490,13.800
491,13.800
492,13.900
493,17.200
494,13.900
495,13.800
496,13.800
497,13.800
498,13.800
499,13.700
500,13.900
501,13.800
502,13.800
503,13.800
504,13.800
505,13.700
506,13.800
507,13.800
508,13.800
509,13.800
510,13.800
511,13.800
512,13.800
513,13.800
514,13.800
515,13.800
516,13.800
517,13.800
518,13.800
519,13.800
520,13.800
521,13.800
522,13.900
523,13.800
524,13.800
525,13.800
526,13.800
527,13.800
528,13.900
529,30.400
530,14.100
531,14.500
532,15.800
533,14.900
534,13.800
535,13.800
536,13.800
537,13.800
538,13.800
539,13.900
540,13.800
541,13.800
542,13.800
543,13.800
544,13.800
545,13.800
546,13.800
547,13.900
548,13.800
549,13.800
550,13.800
551,13.800
552,13.800
553,13.800
554,13.800
555,13.800
556,13.800
557,13.800
558,13.800
559,13.800
560,13.800
561,13.800
562,13.800
563,13.800
564,13.800
565,13.800
566,13.800
567,13.800
568,13.800
569,13.800
570,13.800
571,13.800
572,53.200
573,14.400
574,13.900
575,13.900
576,13.900
